Activity= OFF; Elective= f; Ratio= 0; b= 0; subtractBunkCounselors= f; min= 0; max= 0;;
Activity= OFF; Elective= t; Ratio= 0; b= 0; subtractBunkCounselors= f; min= 0; max= 0;;
Activity= Sailing; Elective= f; Ratio= 0; b= 0; subtractBunkCounselors= f; min= 0; max= 0;;
Activity= Sailing; Elective= t; Ratio= 0; b= 0; subtractBunkCounselors= f; min= 0; max= 0;;
Activity= Lake; Elective= f; Ratio= 0; b= 0; subtractBunkCounselors= f; min= 0; max= 0;;
Activity= Lake; Elective= t; Ratio= 0; b= 0; subtractBunkCounselors= f; min= 0; max= 0;;
Activity= Bananna Boat; Elective= f; Ratio= 0; b= 0; subtractBunkCounselors= f; min= 0; max= 0;;
Activity= Bananna Boat; Elective= t; Ratio= 0; b= 0; subtractBunkCounselors= f; min= 0; max= 0;;
Activity= Ice Mountain; Elective= f; Ratio= 0; b= 0; subtractBunkCounselors= f; min= 0; max= 0;;
Activity= Ice Mountain; Elective= t; Ratio= 0; b= 0; subtractBunkCounselors= f; min= 0; max= 0;;
Activity= Lake Boats; Elective= f; Ratio= 0; b= 0; subtractBunkCounselors= f; min= 0; max= 0;;
Activity= Lake Boats; Elective= t; Ratio= 0; b= 0; subtractBunkCounselors= f; min= 0; max= 0;;
Activity= Lake Instruction; Elective= f; Ratio= 0; b= 0; subtractBunkCounselors= f; min= 0; max= 0;;
Activity= Lake Instruction; Elective= t; Ratio= 0; b= 0; subtractBunkCounselors= f; min= 0; max= 0;;
Activity= Lake Recreation; Elective= f; Ratio= 0; b= 0; subtractBunkCounselors= f; min= 0; max= 0;;
Activity= Lake Recreation; Elective= t; Ratio= 0; b= 0; subtractBunkCounselors= f; min= 0; max= 0;;
Activity= Swim; Elective= f; Ratio= 10; b= 0; subtractBunkCounselors= f; min= 1; max= 9;;
Activity= Swim; Elective= t; Ratio= 10; b= 0; subtractBunkCounselors= f; min= 1; max= 9;;
Activity= Pool; Elective= f; Ratio= 10; b= 0; subtractBunkCounselors= f; min= 1; max= 9;;
Activity= Pool; Elective= t; Ratio= 10; b= 0; subtractBunkCounselors= f; min= 1; max= 9;;
Activity= Blue Pool; Elective= f; Ratio= 10; b= 0; subtractBunkCounselors= f; min= 1; max= 9;;
Activity= Blue Pool; Elective= t; Ratio= 10; b= 0; subtractBunkCounselors= f; min= 1; max= 9;;
Activity= Pool Party; Elective= f; Ratio= 10; b= 0; subtractBunkCounselors= f; min= 1; max= 9;;
Activity= Pool Party; Elective= t; Ratio= 10; b= 0; subtractBunkCounselors= f; min= 1; max= 9;;
Activity= Waterslides; Elective= f; Ratio= 10; b= 0; subtractBunkCounselors= f; min= 1; max= 9;;
Activity= Waterslides; Elective= t; Ratio= 10; b= 0; subtractBunkCounselors= f; min= 1; max= 9;;
Activity= Swim Instruction; Elective= f; Ratio= 8; b= 0; subtractBunkCounselors= f; min= 1; max= 9;;
Activity= Swim Instruction; Elective= t; Ratio= 8; b= 0; subtractBunkCounselors= f; min= 1; max= 9;;
Activity= Swim Rec; Elective= f; Ratio= 10; b= 0; subtractBunkCounselors= f; min= 1; max= 9;;
Activity= Swim Rec; Elective= t; Ratio= 10; b= 0; subtractBunkCounselors= f; min= 1; max= 9;;
Activity= Swim Team; Elective= f; Ratio= 8; b= 0; subtractBunkCounselors= f; min= 1; max= 9;;
Activity= Swim Team; Elective= t; Ratio= 8; b= 0; subtractBunkCounselors= f; min= 1; max= 9;;
Activity= Video Editing; Elective= f; Ratio= 6; b= 0; subtractBunkCounselors= f; min= 1; max= 9;;
Activity= Video Editing; Elective= t; Ratio= 6; b= 0; subtractBunkCounselors= f; min= 1; max= 9;;
Activity= Video Production; Elective= f; Ratio= 6; b= 0; subtractBunkCounselors= f; min= 1; max= 9;;
Activity= Video Production; Elective= t; Ratio= 6; b= 0; subtractBunkCounselors= f; min= 1; max= 9;;
Activity= Ropes; Elective= f; Ratio= 0; b= 0; subtractBunkCounselors= f; min= 0; max= 0;;
Activity= Ropes; Elective= t; Ratio= 0; b= 0; subtractBunkCounselors= f; min= 0; max= 0;;
Activity= Ropes & Climbing Wall; Elective= f; Ratio= 0; b= 0; subtractBunkCounselors= f; min= 0; max= 0;;
Activity= Ropes & Climbing Wall; Elective= t; Ratio= 0; b= 0; subtractBunkCounselors= f; min= 0; max= 0;;
Activity= Climbing Wall; Elective= f; Ratio= 0; b= 0; subtractBunkCounselors= f; min= 0; max= 0;;
Activity= Climbing Wall; Elective= t; Ratio= 0; b= 0; subtractBunkCounselors= f; min= 0; max= 0;;
Activity= Outdoor Cooking; Elective= f; Ratio= 8; b= 0; subtractBunkCounselors= f; min= 2; max= 3;;
Activity= Outdoor Cooking; Elective= t; Ratio= 8; b= 0; subtractBunkCounselors= f; min= 2; max= 3;;
Activity= Mountain Bikes; Elective= f; Ratio= 6; b= 0; subtractBunkCounselors= f; min= 3; max= 5;;
Activity= Mountain Bikes; Elective= t; Ratio= 6; b= 0; subtractBunkCounselors= f; min= 3; max= 5;;
Activity= MTB Road Riders; Elective= f; Ratio= 6; b= 0; subtractBunkCounselors= f; min= 3; max= 5;;
Activity= MTB Road Riders; Elective= t; Ratio= 6; b= 0; subtractBunkCounselors= f; min= 3; max= 5;;
Activity= Hondas; Elective= f; Ratio= 0; b= 0; subtractBunkCounselors= f; min= 0; max= 0;;
Activity= Hondas; Elective= t; Ratio= 0; b= 0; subtractBunkCounselors= f; min= 0; max= 0;;
Activity= Quads; Elective= f; Ratio= 0; b= 0; subtractBunkCounselors= f; min= 0; max= 0;;
